Tratamento,Tempo_dias,n_fraturas_mean,n_fraturas_std,densidade_fraturas_mm2_mean,densidade_fraturas_mm2_std,severidade_percent_mean,severidade_percent_std,porosidade_percent_mean,porosidade_percent_std,n_poros_mean,n_poros_std,rugosidade_um_mean,rugosidade_um_std
DC,30,150.55555555555554,78.85605733092277,155.42,81.40322659452757,11.617777777777778,4.023772414593604,31.056666666666665,15.215944761992269,278.22222222222223,124.5830824969604,81.64111111111112,7.809282048377502
DC,60,136.44444444444446,41.91691517487633,140.85222222222222,43.27137702274384,10.67111111111111,3.1167990167977,30.513333333333335,10.17313250675523,233.0,60.82146002851296,94.63,18.381075866227203
DC,90,71.33333333333333,39.2109678533953,73.63666666666667,40.47684461516238,7.1755555555555555,5.4185286543283855,26.813333333333333,21.697951516214612,136.22222222222223,91.88141511994928,83.50111111111111,9.918600511720948
DC,120,152.88888888888889,54.9350626750449,157.82777777777778,56.710247040940004,12.644444444444446,3.285647238791434,45.36666666666667,25.69826015511556,196.66666666666666,162.11261517846168,66.19444444444444,7.205199704225959
DC,150,159.22222222222223,31.240109545973816,164.36666666666667,32.24859338017706,17.104444444444443,1.9954455085964584,36.09444444444445,10.443981653458502,270.55555555555554,96.60371513444905,92.39666666666666,13.470620809747414
DC,180,118.0,47.27314248069405,121.81222222222222,48.7989825144382,12.30888888888889,4.082359747880031,28.20888888888889,9.525727589591837,224.66666666666666,97.56280028781461,78.38555555555556,7.98789883372203
ST,30,137.44444444444446,66.00589199289544,141.88555555555556,68.13686761055118,17.716666666666665,4.23415871218829,30.349999999999998,9.873396072274218,258.8888888888889,122.22667921166439,102.86888888888888,30.697790818088375
ST,60,126.66666666666667,45.62345887808157,130.75777777777776,47.098011045525524,12.067777777777778,2.4437152952920775,25.99,10.448322831919006,226.44444444444446,77.20283529623623,102.27444444444444,11.717820948358005
ST,90,237.55555555555554,82.06112220642476,245.2311111111111,84.71337120615087,9.928888888888888,5.861035412886626,23.63888888888889,10.685682529025046,445.77777777777777,167.80180107628297,106.26111111111112,13.749364934829204
ST,120,151.22222222222223,88.77186741555258,156.10777777777778,91.64021548667617,8.568888888888889,5.676421505764975,27.928888888888892,12.864742947727759,267.8888888888889,152.52167423389736,109.08111111111111,15.193429866594016
ST,150,151.11111111111111,86.13281088592842,155.9911111111111,88.9166513433289,8.732222222222223,5.236403292761592,27.971111111111114,9.175725372476617,307.8888888888889,149.77102894455626,112.70222222222223,8.16358955634373
ST,180,161.33333333333334,26.636441203734403,166.54555555555555,27.497870877174794,11.653333333333332,2.849442928012421,22.29111111111111,7.629194656784627,306.22222222222223,71.32457111293726,101.96555555555557,9.337178523396544
