Grupo_Base,ciclos,tensão máxima,extensão máxima
RESINADO ,10,586.6025,14.244432763999999
RESINADO ,20,599.93875,12.711978576666667
RESINADO ,30,429.53325,11.893037377
RESINADO ,40,654.1476666666666,9.3289729535
RESINADO ,50,607.6255,7.15047177825
RESINADO ,60,554.8676666666667,11.288214577333335
RESINADO ,70,615.127,11.0452800115
RESINADO ,80,760.157,6.47550035025
RESINADO ,90,654.20925,6.686484898
RESINADO ,100,378.2725,5.5086247965
RESINADO ,110,591.0015,5.1996366115
RESINADO ,120,582.5276666666666,5.526258593666667
