treatment,dias,repeticao,uts_mpa
T0,30.0,1.0,11.19751
T0,30.0,2.0,9.612856667
T0,30.0,3.0,10.02273667
T0,60.0,1.0,11.05256667
T0,60.0,2.0,4.684353333
T0,60.0,3.0,5.21545
T0,90.0,1.0,7.581766667
T0,90.0,2.0,6.39306
T0,90.0,3.0,3.367136667
T0,120.0,1.0,4.54231
T0,120.0,2.0,4.593073333
T0,120.0,3.0,2.274273333
T0,150.0,1.0,6.363333333
T0,150.0,2.0,3.943986667
T0,150.0,3.0,1.88692
T0,180.0,1.0,3.925726667
T0,180.0,2.0,0.76066
T0,180.0,3.0,0.76066
T1,30.0,1.0,19.498553333333334
T1,30.0,2.0,20.76359
T1,30.0,3.0,23.28101666666667
T1,60.0,1.0,13.540063333333334
T1,60.0,2.0,10.921653333333333
T1,60.0,3.0,12.41494
T1,90.0,1.0,10.778303333333334
T1,90.0,2.0,10.541046666666666
T1,90.0,3.0,18.878053333333334
T1,120.0,1.0,5.51495
T1,120.0,2.0,5.54385
T1,120.0,3.0,7.97524
T1,150.0,1.0,6.97586666666667
T1,150.0,2.0,8.11703333333333
T1,150.0,3.0,2.90153
T1,180.0,1.0,2.84999
T1,180.0,2.0,2.44071
T1,180.0,3.0,8.87405
T2,30.0,1.0,12.566493333333334
T2,30.0,2.0,13.343463333333332
T2,30.0,3.0,8.54398333333333
T2,60.0,1.0,9.23176
T2,60.0,2.0,23.92725
T2,60.0,3.0,6.37240666666667
T2,90.0,1.0,15.57436
T2,90.0,2.0,7.80391
T2,90.0,3.0,12.611863333333334
T2,120.0,1.0,14.68493
T2,120.0,2.0,3.08104333333333
T2,120.0,3.0,4.06078333333333
T2,150.0,1.0,4.49032666666667
T2,150.0,2.0,1.51612
T2,150.0,3.0,9.91139666666667
T2,180.0,1.0,2.07356666666667
T2,180.0,2.0,0.975183333333333
T2,180.0,3.0,1.55103666666667
T3,30.0,1.0,23.64363333
T3,30.0,2.0,30.80634333
T3,30.0,3.0,32.26005
T3,60.0,1.0,32.52214333
T3,60.0,2.0,21.46467333
T3,60.0,3.0,25.32403667
T3,90.0,1.0,17.31829
T3,90.0,2.0,15.78705
T3,90.0,3.0,13.35552
T3,120.0,1.0,13.07064667
T3,120.0,2.0,21.26446333
T3,120.0,3.0,18.47391333
T3,150.0,1.0,15.44142333
T3,150.0,2.0,10.01850333
T3,150.0,3.0,11.73457333
T3,180.0,1.0,3.85812
T3,180.0,2.0,9.245806667
T3,180.0,3.0,12.45593333
